state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
012,IMO,0120291,"COMPREHENSIVE SECONDARY SCHOOL,EMEKUKU.",12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120292,COMMUNITY COMPREHENSIVE SECONDARY SCHOOL EGBU,12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120293,"OUR LADY OF MOUNT CARMEL COLLEGE,EMEKUKU",12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120294,"FEDERAL GOVERNMENT GIRLS' COLLEGE, OWERRI",12001,"NECO OFFICE, OWERRI 1",OWERRI,,,,,
012,IMO,0120295,"COMMUNITY SECONDARY SCHOOL, EMEKUKU",12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120296,"BAPTIST MODEL SECONDARY SCHOOL, OBINZE",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120297,EMII SECONDARY TECHNICAL SCHOOL,12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120298,"ARMY DAY SECONDARY SCHOOL, OBINZE",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120299,"NDEGWU SECONDARY SCHOOL,OWERRI WEST LGA",12022,"ST KELVIN'S PARISH, OGBAKU",OGBAKU,,,,,
012,IMO,0120300,"OFOROLA COMMUNITY SECONDARY SCHOOL,OFOROLA",12006,"EZE NWOKOMA'S PALACE, UMUOKANNE",UMUOKANNE,,,,,
012,IMO,0120301,EMEKUKU HIGH SCHOOL,12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120302,"ASSEMBLIES OF GOD BETHEL SEMINARY ,NEKEDE",12028,"ST.PATRICK PARISH, NEKEDE",NEKEDE,,,,,
012,IMO,0120303,EZIOBODO SECONDARY TECHNICAL SCHOOL,12028,"ST.PATRICK PARISH, NEKEDE",NEKEDE,,,,,
012,IMO,0120304,AMAKOHIA-UBI SECONDARY SCHOOL AMAKOHIA-UBI,12022,"ST KELVIN'S PARISH, OGBAKU",OGBAKU,,,,,
012,IMO,0120305,"PREMIER SECONDARY SCHOOL, ORJI",12002,"NECO OFFICE, OWERRI  II",OWERRI,,,,,
012,IMO,0120306,"URBAN SECONDARY SCHOOL, NEW OWERRI",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120307,"BOYS' SECONDARY SCHOOL, NEW OWERRI",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120308,"QUEEN OF APOSTLE GIRLS' SECONDARY TEC. SCHOOL, OKIGWE",12008,"METHODIST CHURCH CATHERDRAL, OKIGWE",OKIGWE,,,,,
012,IMO,0120309,"LOGOS INTERNATIONAL SECONDARY SCHOOL, AWO-OMAMMA",12029,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
012,IMO,0120310,"COMPREHENSIVE SECONDARY SCHOOL, UGBELLE",12020,"CHARLES HEEREY MEMORIAL, URUALLA",URUALLA,,,,,
012,IMO,0120311,"DAUGHTERS OF MARY,MOTHER OF MERCY GIRLS' HIGH SCHOOL, IHITTE UBOMA",12009,"ST CYPRIAN ANGLICAN CHURCH, UMUIHI",UMUIHI,,,,,
012,IMO,0120312,"EZEOKE HIGH SCHOOL, EZEOKE NSU",12010,"OUR LADY OF FATIMA PARISH, UMUAKAGU-NSU",UMUAKAGU-NSU,,,,,
012,IMO,0120313,"COMMUNITY SECONDARY SCHOOL, OWERRI-EBEIRI",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
