state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
018,Kogi,0182385,"UBE/JSS FELELE, LOKOJA",,,,,,,,
018,Kogi,0182386,"DE-WISDOM SEC. SCHOOL, ZARIAGI",,,,,,,,
003,Akwa Ibom,0034018,"REDEEMER INTERNATIONAL SCHOOLS, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
018,Kogi,0182387,UBE/JSS BANDA,,,,,,,,
030,Yobe,0303090,FEDERAL COLLEGE OF EDUCATION.(TECHINAL) DEMONSTRATION SEC. SCHL.,30001,"FIRST BANK PLC, POTISKUM",POTISKUM,,,,,
005,Bauchi,0052586,"GOVT JUNIOR SEC. SCHOOL, K/WARJI",,,,,,,,
002,Adamawa,0020279,"ALIYU MUSTAFA  ACADEMY, YOLA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
005,Bauchi,0052587,"GOVT JUNIOR SEC. SCHOOL, MALAR BOGORO",,,,,,,,
005,Bauchi,0052588,GDJSS DAGAUDA,,,,,,,,
005,Bauchi,0052589,"MODEL JUNIOR SEC. SCHOOL, DAMBAM",,,,,,,,
010,Edo,0100603,"FEDERAL SCIENCE AND TECHNICAL COLLEGE, UROMI",10002,"POLICE STATION, UROMI",UROMI,,,,,
005,Bauchi,0052590,GSS BAYAN BANKAI,,,,,,,,
031,FCT,0318009,"NKOYO SQUARE SCHOOLS, DEI-DEI, ABUJA",31008,"POLICE STATION, BYAZHINE, KUBWA","BYAZHINE, KUBWA",,,,,
031,FCT,0318017,"ROZ ACADEMY, ASOKORO EXTENSION, ABUJA",31017,"FIRST BANK, ASOKORO",ASOKORO,,,,,
031,FCT,0318335,"SOUND FOUNDATION SCHOOLS, WARU APO, ABUJA",,,,,,,,
031,FCT,0318377,"FRANKVILLE LEARNING ACADEMY. LIFE CAMP, ABUJA",,,,,,,,
005,Bauchi,0052591,GJSS ALKALERI,,,,,,,,
005,Bauchi,0052592,GJSS GWARAM,,,,,,,,
005,Bauchi,0052593,UBE JSS BAJAMA,,,,,,,,
005,Bauchi,0052594,JSS ALKALERI,,,,,,,,
005,Bauchi,0052601,GJSS GAMBAR LERE,,,,,,,,
018,Kogi,0182470,UBE/JSS ESOMI OHAINA OKENE,,,,,,,,
018,Kogi,0182471,"INSTITUTE FOR ARABIC STUD., OKENE IRUVUCHINOMI ADAVI",,,,,,,,
035,Gombe,0353584,"THE APOSTOLIC CHURCH SECONDARY SCHOOL, GOMBE",35001,"NECO STATE OFFICE, GOMBE",GOMBE,,,,,
036,Nasarawa,0363982,"PEOPLE'S COMPREHENSIVE ACADEMY, MARARABA GURKU",36010,"POLICE STATION A DIVISION, MARARABA GURKU",MARARABA GURKU,,,,,
036,Nasarawa,0366086,"PECUTY ROYAL INTERNATIONAL ACADEMY, MARARABA",36004,"POLICE STATION, NEW NYANYA",NEW NYANYA,,,,,
036,Nasarawa,0368385,"SKIDO KIDS ACADEMY, DAGBANA",,,,,,,,
071,EQUITORIA GUINEA,0711002,"GLORYLAND HIGH SCHOOL, MALABO",71001,"NIGERIAN EMBASSY MALABO, EQUATORIAL GUINEA",MALABO,,,,,
019,Kwara,0190838,NANA AISAT MEMORIAL COLLEGE,19001,"NECO OFFICE, ILORIN",ILORIN,,,,,
005,Bauchi,0050714,"ECWA KAUNA SECONDARY SCHOOL, BAUCHI",05002,FED. MIN. OF LABOUR AND PROD.(skills acquisition c,BAUCHI,,,,,
027,Rivers,0274356,"LINTEL  INTERNATIONAL SCHOOL,  PORT- HARCOURT",27027,"INTELLECTUAL GAINT CHRISTIAN SCHOOL, WOJI",WOJI,,,,,
027,Rivers,0274693,"FAITH INTERNATIONAL SECONDARY SCHOOL, PORTHARCOURT",27027,"INTELLECTUAL GAINT CHRISTIAN SCHOOL, WOJI",WOJI,,,,,
