State,state_code,LGA
Enugu,011,Oji River
Lagos,020,Ojo
Benue,006,Oju
Kogi,018,Okehi
Kogi,018,Okene
Kwara,019,Oke Ero
Imo,012,Okigwe
Ondo,023,Okitipupa
Akwa Ibom,003,Okobo
Delta,009,Okpe
Rivers,027,Okrika
Kogi,018,Olamaboro
Osun,024,Ola Oluwa
Osun,024,Olorunda
Oyo,025,Olorunsogo
Oyo,025,Oluyole
Kogi,018,Omala
Rivers,027,Omuma
Oyo,025,Ona Ara
Ondo,023,Ondo East
Ondo,023,Ondo West
Ebonyi,033,Onicha
Anambra,004,Onitsha North
Anambra,004,Onitsha South
Akwa Ibom,003,Onna
Benue,006,Okpokwu
Rivers,027,Opobo/Nkoro
Edo,010,Oredo
Oyo,025,Orelope
Osun,024,Oriade
Oyo,025,Ori Ire
Imo,012,Orlu
Osun,024,Orolu
Akwa Ibom,003,Oron
Imo,012,Orsu
Imo,012,Oru East
Akwa Ibom,003,Oruk Anam
Anambra,004,Orumba North
Anambra,004,Orumba South
Imo,012,Oru West
Ondo,023,Ose
Delta,009,Oshimili North
Delta,009,Oshimili South
Lagos,020,Oshodi-Isolo
Abia,001,Osisioma
Osun,024,Osogbo
Benue,006,Oturkpo
Edo,010,Ovia North-East
Edo,010,Ovia South-West
Edo,010,Owan East
Edo,010,Owan West
Imo,012,Owerri Municipal
Imo,012,Owerri North
Imo,012,Owerri West
Ondo,023,Owo
Ekiti,034,Oye
Anambra,004,Oyi
Rivers,027,Oyigbo
Oyo,025,Oyo West
Oyo,025,Oyo East
Kwara,019,Oyun
Niger,021,Paikoro
Plateau,026,Pankshin
Delta,009,Patani
Kwara,019,Pategi
Rivers,027,Port Harcourt
Yobe,030,Potiskum
Plateau,026,Qua'an Pan
Sokoto,028,Rabah
Niger,021,Rafi
Kano,015,Rano
Ogun,022,Remo North
Niger,021,Rijau
Katsina,016,Rimi
Kano,015,Rimin Gado
Jigawa,013,Ringim
Plateau,026,Riyom
Kano,015,Rogo
Jigawa,013,Roni
Sokoto,028,Sabon Birni
Kaduna,014,Sabon Gari
Katsina,016,Sabuwa
Katsina,016,Safana
Bayelsa,032,Sagbama
Kebbi,017,Sakaba
Oyo,025,Saki East
Oyo,025,Saki West
Katsina,016,Sandamu
Kaduna,014,Sanga
Delta,009,Sapele
Taraba,029,Sardauna
Ogun,022,Shagamu
Sokoto,028,Shagari
Kebbi,017,Shanga
Borno,007,Shani
Kano,015,Shanono
Adamawa,002,Shelleng
Plateau,026,Shendam
Zamfara,037,Shinkafi
Bauchi,005,Shira
Niger,021,Shiroro
Gombe,035,Shongom
Lagos,020,Shomolu
Sokoto,028,Silame
Kaduna,014,Soba
Sokoto,028,Sokoto North
Sokoto,028,Sokoto South
Adamawa,002,Song
Bayelsa,032,Southern Ijaw
Niger,021,Suleja
Jigawa,013,Sule Tankarkar
Kano,015,Sumaila
Kebbi,017,Suru
Oyo,025,Surulere
Lagos,020,Surulere
Niger,021,Tafa
Bauchi,005,Tafawa Balewa
Rivers,027,Tai
Kano,015,Takai
Taraba,029,Takum
Zamfara,037,Talata Mafara
Sokoto,028,Tambuwal
Sokoto,028,Tangaza
Kano,015,Tarauni
Benue,006,Tarka
Yobe,030,Tarmuwa
Jigawa,013,Taura
Adamawa,002,Toungo
Kano,015,Tofa
Bauchi,005,Toro
Nasarawa,036,Toto
Zamfara,037,Chafe
Kano,015,Tsanyawa
Kano,015,Tudun Wada
Sokoto,028,Tureta
Enugu,011,Udenu
Enugu,011,Udi
Delta,009,Udu
Akwa Ibom,003,Udung-Uko
Delta,009,Ughelli North
Delta,009,Ughelli South
Abia,001,Ugwunagbo
Edo,010,Uhunmwonde
Akwa Ibom,003,Ukanafun
Benue,006,Ukum
Abia,001,Ukwa East
Abia,001,Ukwa West
Delta,009,Ukwuani
Abia,001,Umuahia North
Abia,001,Umuahia South
Abia,001,Umu Nneochi
Kano,015,Ungogo
Imo,012,Unuimo
Akwa Ibom,003,Uruan
Akwa Ibom,003,Urue-Offong/Oruko
Benue,006,Ushongo
Taraba,029,Ussa
Delta,009,Uvwie
Akwa Ibom,003,Uyo
Enugu,011,Uzo-Uwani
Benue,006,Vandeikya
Sokoto,028,Wamako
Nasarawa,036,Wamba
Kano,015,Warawa
Bauchi,005,Warji
Delta,009,Warri North
Delta,009,Warri South
Delta,009,Warri South West
Kebbi,017,Wasagu/Danko
Plateau,026,Wase
Kano,015,Wudil
Taraba,029,Wukari
Sokoto,028,Wurno
Niger,021,Wushishi
Sokoto,028,Yabo
Kogi,018,Yagba East
Kogi,018,Yagba West
Cross River,008,Yakuur
Cross River,008,Yala
Gombe,035,Yamaltu/Deba
Jigawa,013,Yankwashi
Kebbi,017,Yauri
Bayelsa,032,Yenagoa
Adamawa,002,Yola North
Adamawa,002,Yola South
Taraba,029,Yorro
Yobe,030,Yunusari
Yobe,030,Yusufari
Bauchi,005,Zaki
Katsina,016,Zango
Kaduna,014,Zangon Kataf
Kaduna,014,Zaria
Taraba,029,Zing
Zamfara,037,Zurmi
Kebbi,017,Zuru
